Geography,Geographytype,Year,LHSG,HSG,SCAD,BDH,Location 1,Census Designated Places,Zip Codes
Atherton,Town,1/1/2014 0:00,13.6,12.3,2.7,3.5,"(37.458611, -122.2)",2,28596
Colma,Town,1/1/2014 0:00,6.3,6.4,10.4,2.4,"(37.678889, -122.455556)",4,28588
Foster City,City,1/1/2014 0:00,11.9,9.7,2,2.9,"(37.551389, -122.266389)",6,319
Portola Valley,Town,1/1/2014 0:00,48.1,0,0,1.8,"(37.375, -122.218611)",14,28597
Redwood City,City,1/1/2014 0:00,16.4,10.6,6.6,3,"(37.482778, -122.236111)",21,28607
Ladera,CDP,1/1/2014 0:00,0,0,0,0,"(37.319167, -122.274167)",27,28591
Moss Beach,CDP,1/1/2014 0:00,4.8,8.2,9.3,3.5,"(37.525278, -122.512778)",30,28600
South San Francisco,City,1/1/2014 0:00,14.2,7.8,4.4,4.1,"(37.656111, -122.425556)",19,28613
Belmont,City,1/1/2014 0:00,20.9,5.9,5,3.6,"(37.518056, -122.291667)",15,28585
Daly City,City,1/1/2014 0:00,13.4,8.9,6.1,6.1,"(37.686389, -122.468333)",,28588
San Mateo,City,1/1/2014 0:00,16.1,9.6,6.5,3.4,"(37.554167, -122.313056)",13,317
North Fair Oaks,CDP,1/1/2014 0:00,26.7,13.4,18.5,4.6,"(37.475278, -122.203611)",31,28608
Emerald Lake Hills,CDP,1/1/2014 0:00,6.2,2,4.1,2.2,"(37.464444, -122.266389)",24,28607
Hillsborough,Town,1/1/2014 0:00,31.1,6.1,1.5,1.4,"(37.560278, -122.356389)",8,28587
Brisbane,City,1/1/2014 0:00,0,1.7,11.5,3.3,"(37.680833, -122.419167)",,28586
Menlo Park,City,1/1/2014 0:00,22.1,12,8.7,2.9,"(37.452778, -122.183333)",12,28595
Pacifica,City,1/1/2014 0:00,15.1,4.3,4.3,4.6,"(37.622778, -122.485556)",9,28604
San Carlos,City,1/1/2014 0:00,8.5,8.4,4.4,2.3,"(37.4955, -122.2668)",18,28611
Highlands-Baywood Park,CDP,1/1/2014 0:00,15.7,13.6,10.2,3.3,"(37.525, -122.343333)",25,317
East Palo Alto,City,1/1/2014 0:00,18.3,16.4,17.2,9.1,"(37.466944, -122.139722)",5,312
Broadmoor,CDP,1/1/2014 0:00,21.2,8,3,2.4,"(37.6925, -122.478889)",22,28589
Millbrae,City,1/1/2014 0:00,7,7.8,5.3,3.7,"(37.600833, -122.401389)",11,28598
Loma Mar,CDP,1/1/2014 0:00,100,0,0,0,"(37.271111, -122.3075)",28,28592
Woodside,Town,1/1/2014 0:00,0,9.4,6.8,3.2,"(37.420833, -122.259722)",20,28607
Half Moon Bay,City,1/1/2014 0:00,9.5,4,0.7,1.4,"(37.458889, -122.436944)",7,28590
San Bruno,City,1/1/2014 0:00,7.7,7.7,7,3,"(37.625278, -122.425278)",1,28610
Pescadero,CDP,1/1/2014 0:00,44.4,0,0,0,"(37.255, -122.381389)",32,28605
El Granada,CDP,1/1/2014 0:00,9.2,4.3,9.1,2.4,"(37.503889, -122.473333)",23,28590
West Menlo Park,CDP,1/1/2014 0:00,37.8,0,5.7,3.6,"(37.433611, -122.203056)",34,28595
Montara,CDP,1/1/2014 0:00,3.3,0,0,0,"(37.539722, -122.506389)",29,28599
Burlingame,City,1/1/2014 0:00,20.1,8.3,7.4,3.7,"(37.583333, -122.363611)",16,28587
La Honda,CDP,1/1/2014 0:00,0,0,11.9,0,"(37.399444, -122.197222)",26,28597
